period_high, period_low, ratio, date
1362, 482380, 2.412188, 2021-06-18T16:17:54.853Z
1332, 482742, 2.468367, 2021-06-18T16:18:09.853Z
1302, 484720, 2.535589, 2021-06-18T16:18:24.855Z
1338, 484724, 2.467387, 2021-06-18T16:18:39.855Z
1408, 485414, 2.348057, 2021-06-18T16:18:54.856Z
934, 484736, 3.534739, 2021-06-18T16:19:09.857Z
1352, 485766, 2.447087, 2021-06-18T16:19:24.858Z
1362, 483416, 2.417368, 2021-06-18T16:19:39.859Z
1400, 482534, 2.347463, 2021-06-18T16:19:54.859Z
1358, 482632, 2.420557, 2021-06-18T16:20:09.861Z
1314, 484760, 2.512640, 2021-06-18T16:20:24.862Z
1396, 481244, 2.347896, 2021-06-18T16:20:39.870Z
1332, 482678, 2.468040, 2021-06-18T16:20:54.863Z
1362, 485720, 2.428890, 2021-06-18T16:21:09.864Z
1337, 483476, 2.462875, 2021-06-18T16:21:24.881Z
1404, 482190, 2.339107, 2021-06-18T16:21:39.878Z
1366, 481258, 2.399530, 2021-06-18T16:21:54.869Z
1398, 482916, 2.352683, 2021-06-18T16:22:09.867Z
1323, 483500, 2.489061, 2021-06-18T16:22:24.869Z
1384, 482482, 2.374346, 2021-06-18T16:22:39.869Z
1356, 482546, 2.423695, 2021-06-18T16:22:54.880Z
1426, 483648, 2.309983, 2021-06-18T16:23:09.871Z
1331, 483726, 2.475257, 2021-06-18T16:23:24.872Z
1382, 487134, 2.400708, 2021-06-18T16:23:39.873Z
1434, 489560, 2.325175, 2021-06-18T16:23:54.873Z
1354, 489744, 2.463482, 2021-06-18T16:24:09.875Z
1418, 486700, 2.337674, 2021-06-18T16:24:24.875Z
1372, 490588, 2.435352, 2021-06-18T16:24:39.876Z
1396, 491590, 2.398372, 2021-06-18T16:24:54.877Z
1412, 491240, 2.369507, 2021-06-18T16:25:09.885Z
1342, 489422, 2.483876, 2021-06-18T16:25:24.879Z
1396, 489428, 2.387824, 2021-06-18T16:25:39.885Z
1442, 493290, 2.329893, 2021-06-18T16:25:54.881Z
1382, 495316, 2.441031, 2021-06-18T16:26:09.892Z
1388, 493162, 2.419909, 2021-06-18T16:26:24.896Z
1401, 494466, 2.403794, 2021-06-18T16:26:39.884Z
1406, 497862, 2.411696, 2021-06-18T16:26:54.884Z
1392, 495648, 2.425119, 2021-06-18T16:27:09.885Z
1400, 498266, 2.423997, 2021-06-18T16:27:24.886Z
1450, 500100, 2.349026, 2021-06-18T16:27:39.886Z
1390, 497214, 2.436281, 2021-06-18T16:27:54.887Z
1436, 497906, 2.361521, 2021-06-18T16:28:09.889Z
1336, 502802, 2.563241, 2021-06-18T16:28:25.328Z
1332, 504000, 2.577064, 2021-06-18T16:28:39.893Z
1396, 507184, 2.474452, 2021-06-18T16:28:54.895Z
1380, 504120, 2.488019, 2021-06-18T16:29:09.892Z
1360, 506344, 2.535746, 2021-06-18T16:29:24.982Z
1402, 512466, 2.489522, 2021-06-18T16:29:40.017Z
1386, 512366, 2.517770, 2021-06-18T16:29:54.894Z
1336, 513626, 2.618421, 2021-06-18T16:30:09.896Z
1406, 516004, 2.499578, 2021-06-18T16:30:24.896Z
1396, 519992, 2.536940, 2021-06-18T16:30:39.897Z
1392, 517330, 2.531205, 2021-06-18T16:30:54.920Z
1367, 521904, 2.600286, 2021-06-18T16:31:09.899Z
1390, 528980, 2.591930, 2021-06-18T16:31:24.902Z
1366, 532216, 2.653604, 2021-06-18T16:31:39.900Z
1468, 535142, 2.482801, 2021-06-18T16:31:54.906Z
1474, 536338, 2.478221, 2021-06-18T16:32:09.905Z
1428, 539062, 2.571043, 2021-06-18T16:32:24.925Z
1384, 543844, 2.676315, 2021-06-18T16:32:39.905Z
1014, 553232, 3.715936, 2021-06-18T16:32:54.906Z
1442, 554592, 2.619433, 2021-06-18T16:33:09.916Z
1412, 559314, 2.697863, 2021-06-18T16:33:24.929Z
1474, 565326, 2.612164, 2021-06-18T16:33:39.937Z
1415, 572390, 2.755082, 2021-06-18T16:33:54.909Z
1410, 578550, 2.794607, 2021-06-18T16:34:09.911Z
1404, 583532, 2.830717, 2021-06-18T16:34:24.910Z
1417, 588328, 2.827799, 2021-06-18T16:34:39.914Z
1480, 587712, 2.704592, 2021-06-18T16:34:54.920Z
1512, 591616, 2.664937, 2021-06-18T16:35:09.913Z
1476, 600712, 2.771908, 2021-06-18T16:35:24.913Z
1402, 608528, 2.956184, 2021-06-18T16:35:39.914Z
1486, 613214, 2.810555, 2021-06-18T16:35:54.915Z
1534, 612180, 2.718020, 2021-06-18T16:36:09.916Z
1506, 615944, 2.785577, 2021-06-18T16:36:24.917Z
1554, 621816, 2.725272, 2021-06-18T16:36:39.919Z
1509, 629010, 2.839012, 2021-06-18T16:36:54.926Z
1540, 632280, 2.796325, 2021-06-18T16:37:09.920Z
1130, 628048, 3.785413, 2021-06-18T16:37:24.920Z
1521, 632604, 2.832707, 2021-06-18T16:37:39.921Z
1506, 638768, 2.888797, 2021-06-18T16:37:54.922Z
1462, 635902, 2.962387, 2021-06-18T16:38:10.479Z
1496, 638454, 2.906678, 2021-06-18T16:38:24.924Z
1485, 638726, 2.929456, 2021-06-18T16:38:39.925Z
1480, 646828, 2.976638, 2021-06-18T16:38:54.926Z
1468, 649258, 3.012244, 2021-06-18T16:39:09.928Z
1554, 645666, 2.829800, 2021-06-18T16:39:24.927Z
1530, 647508, 2.882389, 2021-06-18T16:39:39.930Z
1556, 652828, 2.857512, 2021-06-18T16:39:54.929Z
1578, 646818, 2.791734, 2021-06-18T16:40:09.937Z
1558, 646758, 2.827309, 2021-06-18T16:40:24.933Z
1510, 649292, 2.928613, 2021-06-18T16:40:39.932Z
1519, 655244, 2.937949, 2021-06-18T16:40:54.936Z
1542, 651554, 2.877829, 2021-06-18T16:41:09.934Z
1522, 648658, 2.902686, 2021-06-18T16:41:24.942Z
1488, 652398, 2.986130, 2021-06-18T16:41:39.942Z
1476, 655380, 3.024167, 2021-06-18T16:41:54.938Z
1500, 656472, 2.980738, 2021-06-18T16:42:09.998Z
1538, 654020, 2.896234, 2021-06-18T16:42:24.938Z
1526, 656210, 2.928783, 2021-06-18T16:42:39.939Z
1514, 650466, 2.926157, 2021-06-18T16:42:54.940Z
1488, 649670, 2.973643, 2021-06-18T16:43:09.943Z
1528, 651524, 2.904063, 2021-06-18T16:43:24.942Z
1492, 649550, 2.965123, 2021-06-18T16:43:39.942Z
1568, 654112, 2.841221, 2021-06-18T16:43:54.943Z
1520, 653928, 2.930119, 2021-06-18T16:44:09.974Z
1578, 651650, 2.812589, 2021-06-18T16:44:24.966Z
1546, 643480, 2.834814, 2021-06-18T16:44:39.982Z
1482, 641784, 2.949440, 2021-06-18T16:44:55.009Z
1564, 644272, 2.805637, 2021-06-18T16:45:10.441Z
1546, 645550, 2.843933, 2021-06-18T16:45:24.948Z
1484, 644312, 2.957067, 2021-06-18T16:45:39.954Z
1500, 640684, 2.909052, 2021-06-18T16:45:54.983Z
1484, 639774, 2.936240, 2021-06-18T16:46:09.990Z
1498, 638360, 2.902370, 2021-06-18T16:46:24.989Z
1576, 634926, 2.743884, 2021-06-18T16:46:40.036Z
1612, 631216, 2.666932, 2021-06-18T16:46:55.037Z
1546, 627692, 2.765260, 2021-06-18T16:47:09.972Z
1528, 627694, 2.797844, 2021-06-18T16:47:24.955Z
1492, 633622, 2.892413, 2021-06-18T16:47:39.959Z
1590, 633868, 2.715193, 2021-06-18T16:47:54.998Z
1534, 643486, 2.857016, 2021-06-18T16:48:10.088Z
1556, 648002, 2.836388, 2021-06-18T16:48:24.959Z
1543, 653084, 2.882717, 2021-06-18T16:48:39.960Z
1550, 655254, 2.879234, 2021-06-18T16:48:54.960Z
1622, 655372, 2.751921, 2021-06-18T16:49:10.272Z
1528, 654378, 2.916784, 2021-06-18T16:49:25.030Z
1525, 651760, 2.910830, 2021-06-18T16:49:40.054Z
1540, 650436, 2.876622, 2021-06-18T16:49:55.061Z
1555, 639812, 2.802341, 2021-06-18T16:50:09.965Z
1568, 635026, 2.758318, 2021-06-18T16:50:24.966Z
1562, 634838, 2.768094, 2021-06-18T16:50:39.966Z
1566, 643578, 2.799035, 2021-06-18T16:50:54.989Z
1614, 657698, 2.775377, 2021-06-18T16:51:09.968Z
1614, 659182, 2.781639, 2021-06-18T16:51:24.970Z
1554, 662934, 2.905482, 2021-06-18T16:51:39.970Z
1608, 670616, 2.840448, 2021-06-18T16:51:54.971Z
1608, 650176, 2.753872, 2021-06-18T16:52:09.975Z
1564, 632660, 2.755069, 2021-06-18T16:52:24.976Z
1608, 655058, 2.774550, 2021-06-18T16:52:39.974Z
1546, 660108, 2.908067, 2021-06-18T16:52:54.978Z
1574, 673248, 2.913193, 2021-06-18T16:53:09.975Z
1610, 668194, 2.826673, 2021-06-18T16:53:24.978Z
1580, 663810, 2.861446, 2021-06-18T16:53:40.032Z
1564, 663806, 2.890702, 2021-06-18T16:53:55.058Z
1614, 669764, 2.826293, 2021-06-18T16:54:10.026Z
1574, 660298, 2.857157, 2021-06-18T16:54:25.025Z
1562, 657686, 2.867718, 2021-06-18T16:54:40.055Z
1614, 654440, 2.761628, 2021-06-18T16:54:55.058Z
1590, 657288, 2.815513, 2021-06-18T16:55:09.986Z
1602, 656778, 2.792254, 2021-06-18T16:55:24.983Z
1556, 654194, 2.863491, 2021-06-18T16:55:39.984Z
1624, 652520, 2.736571, 2021-06-18T16:55:54.985Z
1628, 652750, 2.730809, 2021-06-18T16:56:09.995Z
